0 1598 14365 14303 2362 12321 495 10831 10166 0 129 9441 441 7702 123 7181 7011 166
1598 0 1336 1899 1599 1529 507 1404 1916 0 122 1585 120 1151 83 1196 1980 67
14365 1336 0 17058 1928 10390 438 9862 11325 0 147 9752 532 5884 115 8245 6820 162
14303 1899 17058 0 2806 12478 632 9965 17289 0 230 15153 545 6895 134 7840 10150 287
2362 1599 1928 2806 0 2572 814 2302 3055 0 251 2467 119 1763 150 1956 3048 118
12321 1529 10390 12478 2572 0 546 8881 11460 0 196 9499 306 9117 94 5667 7153 186
495 507 438 632 814 546 0 519 768 0 175 645 48 424 44 593 788 43
10831 1404 9862 9965 2302 8881 519 0 7385 0 222 5640 236 5030 132 5056 4857 189
10166 1916 11325 17289 3055 11460 768 7385 0 0 264 15796 731 5868 115 5863 8954 530
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
129 122 147 230 251 196 175 222 264 0 0 307 38 340 18 303 602 37
9441 1585 9752 15153 2467 9499 645 5640 15796 0 307 0 803 5654 87 5553 9663 596
441 120 532 545 119 306 48 236 731 0 38 803 0 320 20 340 797 69
7702 1151 5884 6895 1763 9117 424 5030 5868 0 340 5654 320 0 90 3828 7096 150
123 83 115 134 150 94 44 132 115 0 18 87 20 90 0 131 156 2
7181 1196 8245 7840 1956 5667 593 5056 5863 0 303 5553 340 3828 131 0 5167 138
7011 1980 6820 10150 3048 7153 788 4857 8954 0 602 9663 797 7096 156 5167 0 509
166 67 162 287 118 186 43 189 530 0 37 596 69 150 2 138 509 0
